Product,Reseller,Year,Quarter,Month,Sum of Order Quantity,Sum of Product Standard Cost,Sum of Sales Amount
"Half-Finger Gloves, L",Front Sporting Goods,2019,Qtr 2,May,5,9.7136,70.6445
"Half-Finger Gloves, L",Functional Store South,2019,Qtr 3,August,4,9.1593,58.776
"Half-Finger Gloves, L",Functional Store South,2019,Qtr 4,November,6,9.1593,88.164
"Half-Finger Gloves, L",Functional Store South,2020,Qtr 2,May,5,9.1593,73.47
"Half-Finger Gloves, L",Futuristic Sport Distributors,2018,Qtr 3,July,3,9.7136,42.3867
"Half-Finger Gloves, L",Futuristic Sport Distributors,2019,Qtr 3,July,7,9.1593,102.858
"Half-Finger Gloves, L",Futuristic Sport Distributors,2019,Qtr 4,October,7,9.1593,102.858
"Half-Finger Gloves, L",Getaway Inn,2018,Qtr 4,December,1,9.7136,14.1289
"Half-Finger Gloves, L",Getaway Inn,2019,Qtr 3,September,6,9.1593,88.164
"Half-Finger Gloves, L",Getaway Inn,2019,Qtr 4,December,9,9.1593,132.246
"Half-Finger Gloves, L",Getaway Inn,2020,Qtr 2,June,1,9.1593,14.694
"Half-Finger Gloves, L",Global Bike Retailers,2019,Qtr 3,August,2,9.1593,29.388
"Half-Finger Gloves, L",Global Bike Retailers,2019,Qtr 4,November,3,9.1593,44.082
"Half-Finger Gloves, L",Global Bike Retailers,2020,Qtr 2,May,3,9.1593,44.082
"Half-Finger Gloves, L",Golf and Cycle Store,2018,Qtr 3,September,1,9.7136,14.1289
"Half-Finger Gloves, L",Grand Discount Store,2019,Qtr 3,July,7,9.1593,102.858
"Half-Finger Gloves, L",Grand Discount Store,2019,Qtr 4,October,4,9.1593,58.776
"Half-Finger Gloves, L",Grand Discount Store,2020,Qtr 2,April,6,9.1593,88.164
"Half-Finger Gloves, L","Health Spa, Limited",2018,Qtr 4,October,3,9.7136,42.3867
"Half-Finger Gloves, L",Helmets and Cycles,2019,Qtr 3,July,2,9.1593,29.388
"Half-Finger Gloves, L",Larger Cycle Shop,2018,Qtr 3,September,3,9.7136,42.3867
"Half-Finger Gloves, L",Larger Cycle Shop,2019,Qtr 2,June,1,9.7136,14.1289
"Half-Finger Gloves, L",Larger Cycle Shop,2019,Qtr 3,September,3,9.1593,44.082
"Half-Finger Gloves, L",Larger Cycle Shop,2019,Qtr 4,December,8,9.1593,117.552
"Half-Finger Gloves, L",Larger Cycle Shop,2020,Qtr 2,June,6,9.1593,88.164
"Half-Finger Gloves, L",Lease-a-Bike Shop,2018,Qtr 4,November,3,9.7136,42.3867
"Half-Finger Gloves, L",Local Sales and Rental,2019,Qtr 3,September,2,9.1593,29.388
"Half-Finger Gloves, L",Mail Market,2019,Qtr 3,August,2,9.1593,29.388
"Half-Finger Gloves, L",Metropolitan Bicycle Supply,2019,Qtr 2,June,1,9.7136,14.1289
"Half-Finger Gloves, L",Metropolitan Bicycle Supply,2020,Qtr 2,June,6,9.1593,88.164
"Half-Finger Gloves, L",Metropolitan Equipment,2018,Qtr 3,August,2,9.7136,28.2578
"Half-Finger Gloves, L",Metropolitan Equipment,2018,Qtr 4,November,2,9.7136,28.2578
"Half-Finger Gloves, L",Metropolitan Equipment,2019,Qtr 2,May,2,9.7136,28.2578
"Half-Finger Gloves, L",Metropolitan Equipment,2019,Qtr 3,August,4,9.1593,58.776
"Half-Finger Gloves, L",Metropolitan Equipment,2019,Qtr 4,November,5,9.1593,73.47
"Half-Finger Gloves, L",Metropolitan Equipment,2020,Qtr 2,May,2,9.1593,29.388
"Half-Finger Gloves, L",Neighborhood Bicycle Storehouse,2019,Qtr 3,September,3,9.1593,44.082
"Half-Finger Gloves, L",Neighborhood Store,2018,Qtr 3,August,3,9.7136,42.3867
"Half-Finger Gloves, L",Neighborhood Store,2019,Qtr 2,May,5,9.7136,70.6445
"Half-Finger Gloves, L",Next Door Cycles,2019,Qtr 3,September,2,9.1593,29.388
"Half-Finger Gloves, L",Nonskid Tire Company,2020,Qtr 2,May,2,9.1593,29.388
"Half-Finger Gloves, L",Number 1 Supply,2020,Qtr 2,May,1,9.1593,14.694
"Half-Finger Gloves, L",Odometers and Accessories Company,2019,Qtr 3,September,4,9.1593,58.776
"Half-Finger Gloves, L",Odometers and Accessories Company,2019,Qtr 4,December,2,9.1593,29.388
"Half-Finger Gloves, L",Original Bicycle Supply Company,2018,Qtr 3,July,3,9.7136,42.3867
"Half-Finger Gloves, L",Original Bicycle Supply Company,2019,Qtr 2,April,2,9.7136,28.2578
"Half-Finger Gloves, L",Outdoor Equipment Store,2018,Qtr 3,September,4,9.7136,56.5156
"Half-Finger Gloves, L",Outdoor Equipment Store,2018,Qtr 4,December,8,9.7136,113.0312
"Half-Finger Gloves, L",Outdoor Equipment Store,2019,Qtr 2,June,5,9.7136,70.6445
"Half-Finger Gloves, L",Outstanding Cycles,2019,Qtr 3,August,5,9.1593,73.47
"Half-Finger Gloves, L",Outstanding Cycles,2019,Qtr 4,November,3,9.1593,44.082
"Half-Finger Gloves, L",Outstanding Cycles,2020,Qtr 2,May,4,9.1593,58.776
"Half-Finger Gloves, L",Paint Supply,2018,Qtr 3,September,2,9.7136,28.2578
"Half-Finger Gloves, L",Permanent Finish Products,2019,Qtr 2,May,1,9.7136,14.1289
"Half-Finger Gloves, L",Permanent Finish Products,2019,Qtr 3,August,4,9.1593,58.776
"Half-Finger Gloves, L",Permanent Finish Products,2019,Qtr 4,November,3,9.1593,44.082
"Half-Finger Gloves, L",Permanent Finish Products,2020,Qtr 2,May,5,9.1593,73.47
"Half-Finger Gloves, L",Petroleum Products Distributors,2019,Qtr 3,September,3,9.1593,44.082
"Half-Finger Gloves, L",Petroleum Products Distributors,2019,Qtr 4,December,5,9.1593,73.47
"Half-Finger Gloves, L",Petroleum Products Distributors,2020,Qtr 2,June,2,9.1593,29.388
"Half-Finger Gloves, L",Preferred Bikes,2018,Qtr 3,August,3,9.7136,42.3867
"Half-Finger Gloves, L",Preferred Bikes,2018,Qtr 4,November,1,9.7136,14.1289
"Half-Finger Gloves, L",Preferred Bikes,2019,Qtr 2,May,2,9.7136,28.2578
"Half-Finger Gloves, L",Primary Bike Distributors,2019,Qtr 2,May,3,9.7136,42.3867
"Half-Finger Gloves, L",Prosperous Tours,2018,Qtr 3,July,4,9.7136,56.5156
"Half-Finger Gloves, L",Prosperous Tours,2018,Qtr 4,October,1,9.7136,14.1289
"Half-Finger Gloves, L",Prosperous Tours,2019,Qtr 2,April,3,9.7136,42.3867
"Half-Finger Gloves, L",Prosperous Tours,2019,Qtr 3,July,4,9.1593,58.776
"Half-Finger Gloves, L",Prosperous Tours,2019,Qtr 4,October,2,9.1593,29.388
"Half-Finger Gloves, L",Prosperous Tours,2020,Qtr 2,April,1,9.1593,14.694
"Half-Finger Gloves, L",Purchase Mart,2020,Qtr 2,June,1,9.1593,14.694
"Half-Finger Gloves, L",Rally Day Mall,2018,Qtr 3,July,1,9.7136,14.1289
"Half-Finger Gloves, L",Rally Day Mall,2019,Qtr 2,April,5,9.7136,70.6445
"Half-Finger Gloves, L",Rally Day Mall,2019,Qtr 3,July,6,9.1593,88.164
"Half-Finger Gloves, L",Rally Day Mall,2019,Qtr 4,October,8,9.1593,117.552
"Half-Finger Gloves, L",Rally Day Mall,2020,Qtr 2,April,3,9.1593,44.082
"Half-Finger Gloves, L",Rally Master Company Inc,2020,Qtr 2,April,1,9.1593,14.694
"Half-Finger Gloves, L",Rapid Bikes,2018,Qtr 3,September,1,9.7136,14.1289
"Half-Finger Gloves, L",Rapid Bikes,2019,Qtr 2,June,3,9.7136,42.3867
"Half-Finger Gloves, L",Rapid Bikes,2019,Qtr 3,September,9,9.1593,132.246
"Half-Finger Gloves, L",Rapid Bikes,2019,Qtr 4,December,3,9.1593,44.082
"Half-Finger Gloves, L",Rapid Bikes,2020,Qtr 2,June,2,9.1593,29.388
"Half-Finger Gloves, L",Real Sporting Goods,2018,Qtr 3,July,5,9.7136,70.6445
"Half-Finger Gloves, L",Real Sporting Goods,2019,Qtr 2,April,2,9.7136,28.2578
"Half-Finger Gloves, L",Real Sporting Goods,2019,Qtr 3,July,2,9.1593,29.388
"Half-Finger Gloves, L",Real Sporting Goods,2019,Qtr 4,October,4,9.1593,58.776
"Half-Finger Gloves, L",Real Sporting Goods,2020,Qtr 2,April,4,9.1593,58.776
"Half-Finger Gloves, L",Registered Cycle Store,2018,Qtr 3,August,6,9.7136,84.7734
"Half-Finger Gloves, L",Registered Cycle Store,2019,Qtr 2,May,4,9.7136,56.5156
"Half-Finger Gloves, L",Registered Cycle Store,2019,Qtr 3,August,7,9.1593,102.858
"Half-Finger Gloves, L",Registered Cycle Store,2019,Qtr 4,November,5,9.1593,73.47
"Half-Finger Gloves, L",Retail Mall,2018,Qtr 3,July,5,9.7136,70.6445
"Half-Finger Gloves, L",Retail Mall,2018,Qtr 4,October,1,9.7136,14.1289
"Half-Finger Gloves, L",Retail Mall,2019,Qtr 2,April,2,9.7136,28.2578
"Half-Finger Gloves, L",Retail Mall,2020,Qtr 2,April,4,9.1593,58.776
"Half-Finger Gloves, L",Rewarding Activities Company,2018,Qtr 3,August,6,9.7136,84.7734
"Half-Finger Gloves, L",Rewarding Activities Company,2018,Qtr 4,November,4,9.7136,56.5156
"Half-Finger Gloves, L",Rewarding Activities Company,2019,Qtr 2,May,1,9.7136,14.1289
"Half-Finger Gloves, L",Rewarding Activities Company,2019,Qtr 3,August,8,9.1593,117.552
"Half-Finger Gloves, L",Rewarding Activities Company,2019,Qtr 4,November,5,9.1593,73.47
"Half-Finger Gloves, L",Rewarding Activities Company,2020,Qtr 2,May,5,9.1593,73.47
"Half-Finger Gloves, L",Riding Cycles,2019,Qtr 3,September,3,9.1593,44.082
"Half-Finger Gloves, L",Riding Cycles,2019,Qtr 4,December,6,9.1593,88.164
"Half-Finger Gloves, L",Riding Cycles,2020,Qtr 2,June,4,9.1593,58.776
"Half-Finger Gloves, L",Safe Cycles Shop,2018,Qtr 3,September,3,9.7136,42.3867
"Half-Finger Gloves, L",Safe Cycles Shop,2019,Qtr 2,June,7,9.7136,98.9023
"Half-Finger Gloves, L",Sales and Supply Company,2018,Qtr 3,September,3,9.7136,42.3867
"Half-Finger Gloves, L",Sales and Supply Company,2019,Qtr 2,June,5,9.7136,70.6445
"Half-Finger Gloves, L",Sales and Supply Company,2019,Qtr 3,September,11,9.1593,153.1213
"Half-Finger Gloves, L",Sales and Supply Company,2019,Qtr 4,December,4,9.1593,58.776
"Half-Finger Gloves, L",Sales and Supply Company,2020,Qtr 2,June,3,9.1593,44.082
"Half-Finger Gloves, L",Spa and Exercise Outfitters,2018,Qtr 3,August,3,9.7136,42.3867
"Half-Finger Gloves, L",Spa and Exercise Outfitters,2019,Qtr 2,May,2,9.7136,28.2578
"Half-Finger Gloves, L",Spa and Exercise Outfitters,2019,Qtr 3,August,5,9.1593,73.47
"Half-Finger Gloves, L",Spa and Exercise Outfitters,2019,Qtr 4,November,5,9.1593,73.47
"Half-Finger Gloves, L",Specialty Sports Store,2019,Qtr 3,July,1,9.1593,14.694
"Half-Finger Gloves, L",Steel Inc.,2018,Qtr 3,July,4,9.7136,56.5156
"Half-Finger Gloves, L",Steel Inc.,2019,Qtr 2,April,4,9.7136,56.5156
"Half-Finger Gloves, L",Steel Inc.,2019,Qtr 3,July,7,9.1593,102.858
"Half-Finger Gloves, L",Steel Inc.,2019,Qtr 4,October,8,9.1593,117.552
"Half-Finger Gloves, L",Steel Inc.,2020,Qtr 2,April,5,9.1593,73.47
"Half-Finger Gloves, L",Tandem Bicycle Store,2019,Qtr 2,May,3,9.7136,42.3867
"Half-Finger Gloves, L",Top Sports Supply,2018,Qtr 3,July,2,9.7136,28.2578
"Half-Finger Gloves, L",Top Sports Supply,2019,Qtr 2,April,4,9.7136,56.5156
"Half-Finger Gloves, L",Top Sports Supply,2019,Qtr 3,July,2,9.1593,29.388
"Half-Finger Gloves, L",Top Sports Supply,2019,Qtr 4,October,5,9.1593,73.47
"Half-Finger Gloves, L",Utilitarian Sporting Goods,2020,Qtr 2,June,2,9.1593,29.388
"Half-Finger Gloves, L",Valley Bicycle Distributors,2018,Qtr 4,November,1,9.7136,14.1289
"Half-Finger Gloves, L",Valuable Bike Parts Company,2019,Qtr 3,July,2,9.1593,29.388
"Half-Finger Gloves, L",Versatile Sporting Goods Company,2019,Qtr 4,October,1,9.1593,14.694
"Half-Finger Gloves, L",Vigorous Exercise Company,2018,Qtr 3,September,4,9.7136,56.5156
"Half-Finger Gloves, L",Vigorous Exercise Company,2019,Qtr 2,June,2,9.7136,28.2578
"Half-Finger Gloves, L",Vigorous Exercise Company,2019,Qtr 3,September,2,9.1593,29.388
"Half-Finger Gloves, L",Vigorous Exercise Company,2019,Qtr 4,December,5,9.1593,73.47
"Half-Finger Gloves, L",Westside Plaza,2019,Qtr 3,July,3,9.1593,44.082
"Half-Finger Gloves, L",Westside Plaza,2019,Qtr 4,October,3,9.1593,44.082
"Half-Finger Gloves, L",Westside Plaza,2020,Qtr 2,April,6,9.1593,88.164
"Half-Finger Gloves, L",Wheelsets Storehouse,2018,Qtr 3,August,4,9.7136,56.5156
"Half-Finger Gloves, L",Wheelsets Storehouse,2019,Qtr 2,May,1,9.7136,14.1289
"Half-Finger Gloves, L",Wheelsets Storehouse,2019,Qtr 3,August,8,9.1593,117.552
"Half-Finger Gloves, L",Wheelsets Storehouse,2019,Qtr 4,November,3,9.1593,44.082
"Half-Finger Gloves, L",Wheelsets Storehouse,2020,Qtr 2,May,3,9.1593,44.082
"Half-Finger Gloves, M",[Not Applicable],2019,Qtr 2,June,4,36.6372,97.96
"Half-Finger Gloves, M",[Not Applicable],2019,Qtr 3,July,34,311.41619999999983,832.6600000000002
"Half-Finger Gloves, M",[Not Applicable],2019,Qtr 3,August,38,348.0533999999997,930.6200000000002
"Half-Finger Gloves, M",[Not Applicable],2019,Qtr 3,September,37,338.89409999999975,906.1300000000002
"Half-Finger Gloves, M",[Not Applicable],2019,Qtr 4,October,41,375.53129999999965,1004.0900000000003
"Half-Finger Gloves, M",[Not Applicable],2019,Qtr 4,November,41,375.53129999999965,1004.0900000000003
"Half-Finger Gloves, M",[Not Applicable],2019,Qtr 4,December,36,329.7347999999998,881.6400000000002
"Half-Finger Gloves, M",[Not Applicable],2020,Qtr 1,January,46,421.3277999999995,1126.5400000000002
"Half-Finger Gloves, M",[Not Applicable],2020,Qtr 1,February,47,430.4870999999995,1151.0300000000002
"Half-Finger Gloves, M",[Not Applicable],2020,Qtr 1,March,50,457.9649999999994,1224.5000000000002
"Half-Finger Gloves, M",[Not Applicable],2020,Qtr 2,April,54,494.6021999999993,1322.4600000000003
"Half-Finger Gloves, M",[Not Applicable],2020,Qtr 2,May,47,430.4870999999995,1151.0300000000002
"Half-Finger Gloves, M",[Not Applicable],2020,Qtr 2,June,24,219.8232,587.7600000000001
"Half-Finger Gloves, M",Action Bicycle Specialists,2019,Qtr 3,September,8,9.1593,117.552
"Half-Finger Gloves, M",Action Bicycle Specialists,2019,Qtr 4,December,4,9.1593,58.776
"Half-Finger Gloves, M",Action Bicycle Specialists,2020,Qtr 1,March,4,9.1593,58.776
"Half-Finger Gloves, M",Action Bicycle Specialists,2020,Qtr 2,June,5,9.1593,73.47
"Half-Finger Gloves, M",Active Life Toys,2018,Qtr 3,September,6,9.7136,84.7734
"Half-Finger Gloves, M",Active Life Toys,2019,Qtr 2,June,4,9.7136,56.5156
"Half-Finger Gloves, M",Advanced Bike Components,2018,Qtr 3,September,8,9.7136,113.0312
"Half-Finger Gloves, M",Advanced Bike Components,2018,Qtr 4,December,2,9.7136,28.2578
"Half-Finger Gloves, M",Advanced Bike Components,2019,Qtr 1,March,3,9.7136,42.3867
"Half-Finger Gloves, M",Advanced Bike Components,2019,Qtr 2,June,3,9.7136,42.3867
"Half-Finger Gloves, M",Advanced Bike Components,2019,Qtr 3,September,16,9.1593,204.7364
"Half-Finger Gloves, M",Advanced Bike Components,2019,Qtr 4,December,4,9.1593,58.776
"Half-Finger Gloves, M",Advanced Bike Components,2020,Qtr 1,March,2,9.1593,29.388
"Half-Finger Gloves, M",Advanced Bike Components,2020,Qtr 2,June,5,9.1593,73.47
"Half-Finger Gloves, M",Affordable Sports Equipment,2018,Qtr 3,August,3,9.7136,42.3867
"Half-Finger Gloves, M",Affordable Sports Equipment,2018,Qtr 4,November,3,9.7136,42.3867
"Half-Finger Gloves, M",Affordable Sports Equipment,2019,Qtr 2,May,5,9.7136,70.6445
"Half-Finger Gloves, M",Amalgamated Parts Shop,2019,Qtr 3,July,8,9.1593,117.552
"Half-Finger Gloves, M",Amalgamated Parts Shop,2019,Qtr 4,October,7,9.1593,102.858
"Half-Finger Gloves, M",Amalgamated Parts Shop,2020,Qtr 1,January,3,9.1593,44.082
"Half-Finger Gloves, M",Amalgamated Parts Shop,2020,Qtr 2,April,5,9.1593,73.47
"Half-Finger Gloves, M",Another Bicycle Company,2019,Qtr 3,September,4,9.1593,58.776
"Half-Finger Gloves, M",Another Bicycle Company,2019,Qtr 4,December,5,9.1593,73.47
"Half-Finger Gloves, M",Another Bicycle Company,2020,Qtr 2,June,3,9.1593,44.082
"Half-Finger Gloves, M",Area Bike Accessories,2018,Qtr 4,October,1,9.7136,14.1289
"Half-Finger Gloves, M",Area Bike Accessories,2019,Qtr 3,July,4,9.1593,58.776
"Half-Finger Gloves, M",Area Bike Accessories,2019,Qtr 4,October,2,9.1593,29.388
"Half-Finger Gloves, M",Area Bike Accessories,2020,Qtr 2,April,4,9.1593,58.776
"Half-Finger Gloves, M",Associated Bikes,2018,Qtr 4,October,3,9.7136,42.3867
"Half-Finger Gloves, M",Basic Bike Company,2018,Qtr 4,October,5,9.7136,70.6445
"Half-Finger Gloves, M",Best Cycle Store,2019,Qtr 3,July,14,9.1593,194.8816
"Half-Finger Gloves, M",Best Cycle Store,2019,Qtr 4,October,9,9.1593,132.246
"Half-Finger Gloves, M",Best Cycle Store,2020,Qtr 1,January,7,9.1593,102.858
"Half-Finger Gloves, M",Best Cycle Store,2020,Qtr 2,April,6,9.1593,88.164
"Half-Finger Gloves, M",Better Bike Shop,2018,Qtr 3,July,3,9.7136,42.3867
"Half-Finger Gloves, M",Better Bike Shop,2019,Qtr 2,April,4,9.7136,56.5156
"Half-Finger Gloves, M",Better Bike Shop,2019,Qtr 3,July,6,9.1593,88.164
"Half-Finger Gloves, M",Better Bike Shop,2019,Qtr 4,October,4,9.1593,58.776
"Half-Finger Gloves, M",Better Bike Shop,2020,Qtr 2,April,4,9.1593,58.776
"Half-Finger Gloves, M",Bicycle Lines Distributors,2020,Qtr 1,February,1,9.1593,14.694
"Half-Finger Gloves, M",Bicycle Merchandise Warehouse,2018,Qtr 3,September,8,9.7136,113.0312
"Half-Finger Gloves, M",Bicycle Merchandise Warehouse,2018,Qtr 4,December,3,9.7136,42.3867
"Half-Finger Gloves, M",Bicycle Merchandise Warehouse,2019,Qtr 1,March,4,9.7136,56.5156
"Half-Finger Gloves, M",Bicycle Merchandise Warehouse,2019,Qtr 2,June,4,9.7136,56.5156
"Half-Finger Gloves, M",Bike Dealers Association,2018,Qtr 3,July,5,9.7136,70.6445
"Half-Finger Gloves, M",Bike Dealers Association,2018,Qtr 4,October,2,9.7136,28.2578
"Half-Finger Gloves, M",Bike Dealers Association,2019,Qtr 1,January,1,9.7136,14.1289
"Half-Finger Gloves, M",Bike Dealers Association,2019,Qtr 2,April,3,9.7136,42.3867
"Half-Finger Gloves, M",Bike Dealers Association,2019,Qtr 3,July,8,9.1593,117.552
"Half-Finger Gloves, M",Bike Dealers Association,2019,Qtr 4,October,4,9.1593,58.776
"Half-Finger Gloves, M",Bike Dealers Association,2020,Qtr 1,January,4,9.1593,58.776
"Half-Finger Gloves, M",Bike Dealers Association,2020,Qtr 2,April,3,9.1593,44.082
"Half-Finger Gloves, M",Bike Experts,2018,Qtr 3,August,1,9.7136,14.1289
"Half-Finger Gloves, M",Bike Experts,2018,Qtr 4,November,2,9.7136,28.2578
"Half-Finger Gloves, M",Bike Experts,2019,Qtr 1,February,6,9.7136,84.7734
"Half-Finger Gloves, M",Bike Experts,2019,Qtr 2,May,3,9.7136,42.3867
"Half-Finger Gloves, M",Bike Part Wholesalers,2019,Qtr 3,September,3,9.1593,44.082
"Half-Finger Gloves, M",Bike Part Wholesalers,2019,Qtr 4,December,4,9.1593,58.776
"Half-Finger Gloves, M",Bike Part Wholesalers,2020,Qtr 2,June,8,9.1593,117.552
"Half-Finger Gloves, M",Bike Products and Accessories,2018,Qtr 4,November,4,9.7136,56.5156
"Half-Finger Gloves, M",Bike World,2019,Qtr 3,September,4,9.1593,58.776
"Half-Finger Gloves, M",Bikes and Motorbikes,2018,Qtr 3,August,1,9.7136,14.1289
"Half-Finger Gloves, M",Bikes and Motorbikes,2018,Qtr 4,November,4,9.7136,56.5156
"Half-Finger Gloves, M",Bikes and Motorbikes,2019,Qtr 1,February,3,9.7136,42.3867
"Half-Finger Gloves, M",Bikes and Motorbikes,2019,Qtr 2,May,6,9.7136,84.7734
"Half-Finger Gloves, M",Bikes and Motorbikes,2019,Qtr 3,August,18,9.1593,230.3285
"Half-Finger Gloves, M",Bikes and Motorbikes,2019,Qtr 4,November,6,9.1593,88.164
"Half-Finger Gloves, M",Bikes and Motorbikes,2020,Qtr 1,February,7,9.1593,102.858
"Half-Finger Gloves, M",Bikes and Motorbikes,2020,Qtr 2,May,5,9.1593,73.47
"Half-Finger Gloves, M",Bikes for Two,2018,Qtr 4,December,1,9.7136,14.1289
"Half-Finger Gloves, M",Brightwork Company,2019,Qtr 3,August,2,9.1593,29.388
"Half-Finger Gloves, M",Bulk Discount Store,2018,Qtr 3,September,7,9.7136,98.9023
"Half-Finger Gloves, M",Bulk Discount Store,2019,Qtr 2,June,5,9.7136,70.6445
"Half-Finger Gloves, M",Bulk Discount Store,2019,Qtr 3,September,11,9.1593,153.1213
"Half-Finger Gloves, M",Bulk Discount Store,2019,Qtr 4,December,4,9.1593,58.776
"Half-Finger Gloves, M",Bulk Discount Store,2020,Qtr 2,June,2,9.1593,29.388
"Half-Finger Gloves, M",Casual Bicycle Store,2018,Qtr 3,July,2,9.7136,28.2578
"Half-Finger Gloves, M",Casual Bicycle Store,2018,Qtr 4,October,4,9.7136,56.5156
"Half-Finger Gloves, M",Casual Bicycle Store,2019,Qtr 2,April,4,9.7136,56.5156
"Half-Finger Gloves, M",Catalog Store,2018,Qtr 4,November,1,9.7136,14.1289
"Half-Finger Gloves, M",Certified Bicycle Supply,2019,Qtr 3,September,4,9.1593,58.776
"Half-Finger Gloves, M",Channel Outlet,2019,Qtr 3,September,2,9.1593,29.388
"Half-Finger Gloves, M",Citywide Service and Repair,2018,Qtr 3,July,11,9.7136,147.2322
"Half-Finger Gloves, M",Citywide Service and Repair,2018,Qtr 4,October,1,9.7136,14.1289
"Half-Finger Gloves, M",Citywide Service and Repair,2019,Qtr 1,January,5,9.7136,70.6445
"Half-Finger Gloves, M",Citywide Service and Repair,2019,Qtr 2,April,5,9.7136,70.6445
"Half-Finger Gloves, M",Citywide Service and Repair,2019,Qtr 3,July,12,9.1593,167.0414
"Half-Finger Gloves, M",Citywide Service and Repair,2019,Qtr 4,October,16,9.1593,204.7364
"Half-Finger Gloves, M",Citywide Service and Repair,2020,Qtr 1,January,3,9.1593,44.082
"Half-Finger Gloves, M",Citywide Service and Repair,2020,Qtr 2,April,1,9.1593,14.694
"Half-Finger Gloves, M",Client Discount Store,2018,Qtr 4,November,2,9.7136,28.2578
"Half-Finger Gloves, M",Closeout Boutique,2018,Qtr 3,August,9,9.7136,127.1601
"Half-Finger Gloves, M",Closeout Boutique,2018,Qtr 4,November,2,9.7136,28.2578
"Half-Finger Gloves, M",Closeout Boutique,2019,Qtr 1,February,7,9.7136,98.9023
"Half-Finger Gloves, M",Closeout Boutique,2019,Qtr 2,May,4,9.7136,56.5156
"Half-Finger Gloves, M",Coalition Bike Company,2018,Qtr 4,December,3,9.7136,42.3867
"Half-Finger Gloves, M",Commerce Bicycle Specialists,2018,Qtr 3,August,4,9.7136,56.5156
"Half-Finger Gloves, M",Commerce Bicycle Specialists,2018,Qtr 4,November,3,9.7136,42.3867
"Half-Finger Gloves, M",Commerce Bicycle Specialists,2019,Qtr 2,May,5,9.7136,70.6445
"Half-Finger Gloves, M",Commerce Bicycle Specialists,2019,Qtr 3,August,4,9.1593,58.776
"Half-Finger Gloves, M",Commerce Bicycle Specialists,2019,Qtr 4,November,6,9.1593,88.164
"Half-Finger Gloves, M",Commerce Bicycle Specialists,2020,Qtr 2,May,2,9.1593,29.388
"Half-Finger Gloves, M",Commercial Sporting Goods,2018,Qtr 3,September,12,9.7136,160.6169
"Half-Finger Gloves, M",Commercial Sporting Goods,2018,Qtr 4,December,9,9.7136,127.1601
"Half-Finger Gloves, M",Commercial Sporting Goods,2019,Qtr 1,March,10,9.7136,141.289
"Half-Finger Gloves, M",Commercial Sporting Goods,2019,Qtr 2,June,16,9.7136,196.8628
"Half-Finger Gloves, M",Community Department Stores,2019,Qtr 3,September,4,9.1593,58.776
"Half-Finger Gloves, M",Commuter Bicycle Store,2020,Qtr 2,May,7,9.1593,102.858
"Half-Finger Gloves, M",Consolidated Messenger,2019,Qtr 3,August,1,9.1593,14.694
"Half-Finger Gloves, M",Consolidated Messenger,2019,Qtr 4,November,5,9.1593,73.47
"Half-Finger Gloves, M",Consolidated Messenger,2020,Qtr 2,May,4,9.1593,58.776
"Half-Finger Gloves, M",Consolidated Sales,2019,Qtr 3,August,5,9.1593,73.47
"Half-Finger Gloves, M",Corner Bicycle Supply,2018,Qtr 3,September,2,9.7136,28.2578
"Half-Finger Gloves, M",Corner Bicycle Supply,2018,Qtr 4,December,1,9.7136,14.1289
"Half-Finger Gloves, M",Corner Bicycle Supply,2019,Qtr 2,June,10,9.7136,141.289
"Half-Finger Gloves, M",Custom Accessories Company,2018,Qtr 3,August,5,9.7136,70.6445
"Half-Finger Gloves, M",Custom Accessories Company,2018,Qtr 4,November,4,9.7136,56.5156
"Half-Finger Gloves, M",Custom Accessories Company,2019,Qtr 1,February,4,9.7136,56.5156
"Half-Finger Gloves, M",Custom Accessories Company,2019,Qtr 2,May,9,9.7136,127.1601
"Half-Finger Gloves, M",Cycle Parts and Accessories,2019,Qtr 3,September,4,9.1593,58.776
"Half-Finger Gloves, M",Cycle Parts and Accessories,2019,Qtr 4,December,6,9.1593,88.164
"Half-Finger Gloves, M",Cycles Sales and Repair,2019,Qtr 3,September,4,9.1593,58.776
"Half-Finger Gloves, M",Cycles Wholesaler & Mfg.,2020,Qtr 2,April,7,9.1593,102.858
"Half-Finger Gloves, M",Discount Tours,2019,Qtr 3,September,3,9.1593,44.082
"Half-Finger Gloves, M",Distant Inn,2019,Qtr 3,July,2,9.1593,29.388
"Half-Finger Gloves, M",Downhill Bicycle Specialists,2018,Qtr 3,August,8,9.7136,113.0312
"Half-Finger Gloves, M",Downhill Bicycle Specialists,2018,Qtr 4,November,3,9.7136,42.3867
"Half-Finger Gloves, M",Downhill Bicycle Specialists,2019,Qtr 1,February,3,9.7136,42.3867
"Half-Finger Gloves, M",Downhill Bicycle Specialists,2019,Qtr 2,May,4,9.7136,56.5156
"Half-Finger Gloves, M",Eastside Department Store,2018,Qtr 3,September,14,9.7136,187.3864
"Half-Finger Gloves, M",Eastside Department Store,2018,Qtr 4,December,6,9.7136,84.7734
"Half-Finger Gloves, M",Eastside Department Store,2019,Qtr 1,March,5,9.7136,70.6445
"Half-Finger Gloves, M",Eastside Department Store,2019,Qtr 2,June,19,9.7136,233.7746
"Half-Finger Gloves, M",Eastside Department Store,2019,Qtr 3,September,4,9.1593,58.776
